Category,City,Country,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Technology,Naperville,United States,LC-16930,Linda Cazamias,0.2,,CA-2017-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,16.5564,4,Central,42,147.168,Corporate,15-09-17,Standard Class,Illinois,Phones
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,0.0,2016-07-17,CA-2016-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",3.894,2,West,43,77.88,Corporate,22-07-16,Standard Class,California,Storage
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,0.2,2017-09-19,CA-2017-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",9.5616,2,South,44,95.616,Corporate,23-09-17,Standard Class,Florida,Storage
Technology,Eagan,United States,ON-18715,Odella Nelson,0.0,,CA-2016-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",19.7714,2,Central,45,45.98,Corporate,13-03-16,First Class,Minnesota,Accessories
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,0.0,,CA-2016-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,8.2062,2,Central,46,17.46,Corporate,13-03-16,First Class,Minnesota,Binders
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,0.0,2014-10-20,CA-2014-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8.4784,4,Central,47,211.96,Consumer,25-10-14,Second Class,Michigan,Storage
Technology,Dover,United States,LH-16900,Lena Hernandez,0.0,2016-06-20,CA-2016-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,4.95,3,East,48,45.0,Consumer,25-06-16,Standard Class,Delaware,Accessories
Technology,Dover,United States,LH-16900,Lena Hernandez,0.0,2016-06-20,CA-2016-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6.104,2,East,49,21.8,Consumer,25-06-16,Standard Class,Delaware,Phones
Office Supplies,New Albany,United States,DP-13000,Darren Powers,0.0,2015-04-18,CA-2015-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",17.9634,6,Central,50,38.22,Consumer,22-04-15,Standard Class,Indiana,Binders
Office Supplies,New Albany,United States,DP-13000,Darren Powers,0.0,2015-04-18,CA-2015-115742,47150,OFF-LA-10002762,Avery 485,35.3346,6,Central,51,75.18,Consumer,22-04-15,Standard Class,Indiana,Labels
Furniture,New Albany,United States,DP-13000,Darren Powers,0.0,2015-04-18,CA-2015-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,2.9568,2,Central,52,6.16,Consumer,22-04-15,Standard Class,Indiana,Furnishings
Furniture,New Albany,United States,DP-13000,Darren Powers,0.0,2015-04-18,CA-2015-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",17.0981,1,Central,53,89.99,Consumer,22-04-15,Standard Class,Indiana,Chairs
Office Supplies,New York City,United States,JM-15265,Janet Molinari,0.0,,CA-2016-105816,10024,OFF-FA-10000304,Advantus Push Pins,6.2566,7,East,54,15.26,Corporate,17-12-16,Standard Class,New York,Fasteners
Technology,New York City,United States,JM-15265,Janet Molinari,0.0,,CA-2016-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,298.6855,5,East,55,1029.95,Corporate,17-12-16,Standard Class,New York,Phones
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.0,2016-06-17,CA-2016-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,52.14,6,East,56,208.56,Consumer,18-06-16,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.0,2016-06-17,CA-2016-111682,12180,OFF-PA-10001569,Xerox 232,15.552,5,East,57,32.4,Consumer,18-06-16,First Class,New York,Paper
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,2016-06-17,CA-2016-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,7.098,5,East,58,319.41,Consumer,18-06-16,First Class,New York,Chairs
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.0,2016-06-17,CA-2016-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",6.9888,2,East,59,14.56,Consumer,18-06-16,First Class,New York,Paper
Technology,Troy,United States,TB-21055,Ted Butterfield,0.0,2016-06-17,CA-2016-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3.3,2,East,60,30.0,Consumer,18-06-16,First Class,New York,Accessories
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,2016-06-17,CA-2016-111682,12180,OFF-BI-10001460,Plastic Binding Combs,16.362,4,East,61,48.48,Consumer,18-06-16,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.0,2016-06-17,CA-2016-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,0.84,1,East,62,1.68,Consumer,18-06-16,First Class,New York,Art
Technology,Los Angeles,United States,KM-16720,Kunst Miller,0.0,2015-11-24,CA-2015-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6.1512,2,West,63,13.98,Consumer,30-11-15,Standard Class,California,Accessories
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,0.2,2015-11-24,CA-2015-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9.3612,6,West,64,25.824,Consumer,30-11-15,Standard Class,California,Binders
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,0.0,2015-11-24,CA-2015-135545,90004,OFF-PA-10003892,Xerox 1943,68.9631,3,West,65,146.73,Consumer,30-11-15,Standard Class,California,Paper
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,0.0,2015-11-24,CA-2015-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,22.3328,4,West,66,79.76,Consumer,30-11-15,Standard Class,California,Furnishings
Furniture,Chicago,United States,PS-18970,Paul Stevenson,0.3,2015-04-30,US-2015-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",-15.2225,5,Central,67,213.115,Home Office,2015-05-04T18:30:00.000Z,Standard Class,Illinois,Chairs
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,0.2,,CA-2014-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111.3024,8,West,68,1113.024,Corporate,2014-10-11T18:30:00.000Z,Standard Class,Arizona,Art
Technology,Gilbert,United States,BS-11590,Brendan Sweed,0.2,,CA-2014-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,62.988,4,West,69,167.968,Corporate,2014-10-11T18:30:00.000Z,Standard Class,Arizona,Phones
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,0.0,,CA-2016-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",35.6636,2,South,70,75.88,Consumer,2016-06-05T18:30:00.000Z,First Class,Virginia,Paper
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,0.2,2016-09-18,CA-2016-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,1.731,1,East,71,4.616,Consumer,23-09-16,Standard Class,New York,Binders
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,0.0,2017-09-14,CA-2017-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,Central,72,19.05,Consumer,17-09-17,Second Class,Michigan,Paper
Furniture,Memphis,United States,JE-15745,Joel Eaton,0.2,2015-04-26,US-2015-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,-114.3912,8,South,73,831.936,Consumer,2015-02-04T18:30:00.000Z,Standard Class,Tennessee,Chairs
Furniture,Memphis,United States,JE-15745,Joel Eaton,0.2,2015-04-26,US-2015-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1.213,2,South,74,97.04,Consumer,2015-02-04T18:30:00.000Z,Standard Class,Tennessee,Furnishings
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,0.2,2015-04-26,US-2015-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,-18.196,1,South,75,72.784,Consumer,2015-02-04T18:30:00.000Z,Standard Class,Tennessee,Storage
Office Supplies,Houston,United States,KB-16600,Ken Brennan,0.8,,US-2017-118038,77041,OFF-BI-10004182,Economy Binders,-1.9344,3,Central,76,1.248,Corporate,2017-11-11T18:30:00.000Z,First Class,Texas,Binders
Furniture,Houston,United States,KB-16600,Ken Brennan,0.6,,US-2017-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",-5.8248,3,Central,77,9.708,Corporate,2017-11-11T18:30:00.000Z,First Class,Texas,Furnishings
Office Supplies,Houston,United States,KB-16600,Ken Brennan,0.2,,US-2017-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2.724,3,Central,78,27.24,Corporate,2017-11-11T18:30:00.000Z,First Class,Texas,Storage
Furniture,Houston,United States,JE-15745,Joel Eaton,0.6,2014-11-26,US-2014-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-14.475,5,Central,79,19.3,Consumer,2014-01-11T18:30:00.000Z,Second Class,Texas,Furnishings
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,0.0,,CA-2016-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",56.2032,1,South,80,208.16,Corporate,15-06-16,First Class,Alabama,Appliances
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,0.0,,CA-2016-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD Binder With Locking Rings,8.0352,3,South,81,16.74,Corporate,15-06-16,First Class,Alabama,Binders
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,0.0,,CA-2014-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.172,5,West,82,14.9,Consumer,16-10-14,Standard Class,California,Art
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,0.0,,CA-2014-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",6.2031,1,West,83,21.39,Consumer,16-10-14,Standard Class,California,Storage
Office Supplies,Durham,United States,JC-16105,Julie Creighton,0.2,,CA-2015-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,62.8075,7,South,84,200.984,Corporate,2015-08-08T18:30:00.000Z,Standard Class,North Carolina,Envelopes
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,0.2,2017-11-13,US-2017-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,-48.9549,3,Central,85,230.376,Home Office,16-11-17,First Class,Illinois,Storage
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,0.0,2017-05-28,CA-2017-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,33.2156,2,South,86,301.96,Consumer,30-05-17,Second Class,South Carolina,Chairs
Technology,Rochester,United States,PG-18895,Paul Gonzalez,0.0,2017-10-26,CA-2017-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,6.7966,1,Central,87,19.99,Consumer,2017-02-10T18:30:00.000Z,Standard Class,Minnesota,Accessories
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,0.0,2017-10-26,CA-2017-155558,55901,OFF-LA-10000134,Avery 511,2.9568,2,Central,88,6.16,Consumer,2017-02-10T18:30:00.000Z,Standard Class,Minnesota,Labels
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,0.2,,CA-2016-159695,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,13.8572,7,Central,89,158.368,Home Office,2016-10-03T18:30:00.000Z,Second Class,Texas,Storage
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0.0,2016-09-17,CA-2016-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,6.633,3,West,90,20.1,Corporate,22-09-16,Standard Class,California,Art
Technology,Los Angeles,United States,JS-15685,Jim Sink,0.2,2016-09-17,CA-2016-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,8.2782,2,West,91,73.584,Corporate,22-09-16,Standard Class,California,Phones
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0.0,2016-09-17,CA-2016-109806,90036,OFF-PA-10000304,Xerox 1995,3.1104,1,West,92,6.48,Corporate,22-09-16,Standard Class,California,Paper
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,0.0,2015-01-31,CA-2015-149587,55407,OFF-PA-10003177,Xerox 1999,6.2208,2,Central,93,12.96,Consumer,2015-05-01T18:30:00.000Z,Second Class,Minnesota,Paper
Furniture,Minneapolis,United States,KB-16315,Karl Braun,0.0,2015-01-31,CA-2015-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",16.5354,3,Central,94,53.34,Consumer,2015-05-01T18:30:00.000Z,Second Class,Minnesota,Furnishings
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,0.0,2015-01-31,CA-2015-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,16.1504,2,Central,95,32.96,Consumer,2015-05-01T18:30:00.000Z,Second Class,Minnesota,Binders
Office Supplies,Portland,United States,RB-19705,Roger Barcio,0.7,,US-2017-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,-3.788,1,West,96,5.682,Home Office,2017-12-10T18:30:00.000Z,Standard Class,Oregon,Binders
Furniture,New York City,United States,PN-18775,Parhena Norris,0.0,,CA-2017-161018,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,40.5426,7,East,97,96.53,Home Office,2017-11-10T18:30:00.000Z,Second Class,New York,Furnishings
Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,0.2,2017-06-17,CA-2017-157833,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,17.9592,3,West,98,51.312,Consumer,20-06-17,First Class,California,Binders
Office Supplies,Saint Paul,United States,ER-13855,Elpida Rittenbach,0.0,,CA-2016-149223,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,22.5852,6,Central,99,77.88,Corporate,2016-11-08T18:30:00.000Z,Standard Class,Minnesota,Appliances
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,0.2,2016-08-29,CA-2016-158568,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,22.6184,7,Central,100,64.624,Home Office,2016-02-08T18:30:00.000Z,Standard Class,Illinois,Paper
